"price","domain","advertiser","pageviews","uniques","revenue"
197,"BestVideoGamesCollection.com","adsense",0,0,
80,"url19.com","adsense",2500,1000,
35,"solarenergyefficiency.net","adsense",0,0,
355,"ifilikes.com","adsense",10000,10000,
205,"FLIGHTSHOTELBOOKINGS.com","adsense",0,0,
100,"musicentrance.com","adsense",0,0,
30,"YogaMatStore.info","adsense",100,65,
60,"dreamweddingforless.com","adsense",0,0,
50,"TopTrafficKeywords.com","adsense",450,150,
5000,"juegosfun.com","adsense",0,0,
15000,"megaswf.com","adsense",937000,286000,
10,"acardonations.com","adsense",505,141,
4000,"FinerLifestyle.com","adsense",5000,3000,
6,"3-Day-Diets.org","adsense",0,0,
260,"axess.im","adsense",22000,7000,
605,"howtogettheguyyouwant.net","adsense",4009,1397,
249,"linkarachnid.info","adsense",2000000,150000,
200,"nailforums.com","adsense",23000,14000,
50,"CollegeEducationAdvice.com","adsense",80,70,
89,"newcarvideo.us","adsense",0,0,
1000,"dancingwiththestars2011.com","adsense",8465,6872,
125,"emedicalnews.net","adsense",300,150,
50,"HowToStopPanicAttacksToday.net","adsense",1454,121,
137,"DietDailyTips.com","adsense",0,0,
100,"101acnecures.com","adsense",0,0,
110,"masterforextool.com","adsense",100,150,
50,"GamesQuail.com","adsense",1,1,
2000,"skillstraded.com","adsense",28000,2300,
50,"MP3Dock.org","adsense",0,0,
199,"247sportsnews.net","adsense",300,100,
240,"waystomakemoney.tv","adsense",3000,430,
177,"looseweightin90days.com","adsense",2000,150,
182,"socialfansbuilder.com","adsense",0,0,
2150,"thehomedecoratingideas.com","adsense",150000,60000,
70,"skateraction.com","adsense",0,0,
25,"AllDigitalZip.Com","adsense",0,0,
